asdf_id,gpw_v4_count.2000.sum,gpw_v4_count.2015.sum,adm,gbid,Name,Level,adm_int,feature_id,iso,gqid
85,192648.765625,325447.5625,ADM2,TZA_ADM2_1_3_3_85,Ulanga,ADM2,2,85,TZA,85
86,115651.078125,243513.875,ADM2,TZA_ADM2_1_3_3_86,Urambo,ADM2,2,86,TZA,86
87,119780.4375,245318.328125,ADM2,TZA_ADM2_1_3_3_87,Busega,ADM2,2,87,TZA,87
88,215517.046875,447593.34375,ADM2,TZA_ADM2_1_3_3_88,Chato,ADM2,2,88,TZA,88
89,331731.1875,477821.625,ADM2,TZA_ADM2_1_3_3_89,Dodoma Urban,ADM2,2,89,TZA,89
90,166206.125,247992.796875,ADM2,TZA_ADM2_1_3_3_90,Hai,ADM2,2,90,TZA,90
91,218920.109375,320612.9375,ADM2,TZA_ADM2_1_3_3_91,Ikungi,ADM2,2,91,TZA,91
92,112525.085938,143783.234375,ADM2,TZA_ADM2_1_3_3_92,Ileje,ADM2,2,92,TZA,92
93,133398.640625,149763.34375,ADM2,TZA_ADM2_1_3_3_93,Ludewa,ADM2,2,93,TZA,93
94,46294.9140625,58337.6796875,ADM2,TZA_ADM2_1_3_3_94,Mafinga Township Authority,ADM2,2,94,TZA,94
95,184770.96875,284603.15625,ADM2,TZA_ADM2_1_3_3_95,Kahama Township Authority,ADM2,2,95,TZA,95
96,210637.96875,362025.375,ADM2,TZA_ADM2_1_3_3_96,Morogoro Urban,ADM2,2,96,TZA,96
97,88675.3125,119037.15625,ADM2,TZA_ADM2_1_3_3_97,Mtwara Urban,ADM2,2,97,TZA,97
98,97061.8125,142215.0,ADM2,TZA_ADM2_1_3_3_98,Musoma Urban,ADM2,2,98,TZA,98
99,176198.125,229748.921875,ADM2,TZA_ADM2_1_3_3_99,Namtumbo,ADM2,2,99,TZA,99
100,279003.625,409156.3125,ADM2,TZA_ADM2_1_3_3_100,Ngara,ADM2,2,100,TZA,100
101,126367.796875,208290.15625,ADM2,TZA_ADM2_1_3_3_101,Ngorongoro,ADM2,2,101,TZA,101
102,126382.234375,144894.0625,ADM2,TZA_ADM2_1_3_3_102,Ruangwa,ADM2,2,102,TZA,102
103,197348.609375,232184.1875,ADM2,TZA_ADM2_1_3_3_103,Rufiji,ADM2,2,103,TZA,103
104,469547.3125,758680.0625,ADM2,TZA_ADM2_1_3_3_104,Sengerema,ADM2,2,104,TZA,104
105,130715.257812,217627.140625,ADM2,TZA_ADM2_1_3_3_105,Sikonge,ADM2,2,105,TZA,105
106,298296.96875,450720.65625,ADM2,TZA_ADM2_1_3_3_106,Uvinza,ADM2,2,106,TZA,106
107,275087.625,361007.6875,ADM2,TZA_ADM2_1_3_3_107,Arusha,ADM2,2,107,TZA,107
108,179218.875,258441.1875,ADM2,TZA_ADM2_1_3_3_108,Bahi,ADM2,2,108,TZA,108
109,199001.03125,301161.28125,ADM2,TZA_ADM2_1_3_3_109,Buhigwe,ADM2,2,109,TZA,109
