X,Y,LandUse,Latitude,Longitude
582663.3928,6219312.153,Summercrops,-34.16385846,-56.10315706
582717.5028,6198761.712,Summercrops,-34.34916635,-56.10060003
582747.0926,6199235.15,Summercrops,-34.34489486,-56.10032394
583540.8367,6218964.804,Summercrops,-34.16692078,-56.09360494
583398.0692,6199619.818,Summercrops,-34.34137399,-56.09328424
584847.9717,6200241.205,Summercrops,-34.33565305,-56.07758383
585766.3033,6202642.567,Summercrops,-34.31392377,-56.06784093
585803.4739,6192312.588,Summercrops,-34.40706808,-56.0664045
585950.1099,6194772.303,Summercrops,-34.38487631,-56.0650559
586016.834,6198444.175,Summercrops,-34.35176086,-56.06469823
586365.681,6192253.408,Summercrops,-34.40755487,-56.06028209
586549.4512,6199006.382,Summercrops,-34.34664696,-56.05896417
586756.5802,6198503.355,Summercrops,-34.35116551,-56.05666156
587940.174,6198828.843,Summercrops,-34.3481307,-56.04382677
589325.2977,6202860.84,Summercrops,-34.3116551,-56.02918712
589527.5989,6215098.545,Summercrops,-34.20128734,-56.02825844
590461.3664,6214618.686,Summercrops,-34.20553366,-56.01807436
590322.223,6198139.615,Summercrops,-34.35414052,-56.01785758
591317.0651,6214568.351,Summercrops,-34.20591285,-56.00878196
591742.5356,6197133.56,Summercrops,-34.36308727,-56.00230798
592048.6263,6214752.901,Summercrops,-34.2041843,-56.00086179
592199.1303,6202364.006,Summercrops,-34.31588358,-55.99790439
592258.31,6202926.213,Summercrops,-34.31080885,-55.99732154
592968.4663,6203133.342,Summercrops,-34.30887774,-55.98962687
593829.4346,6203091.523,Summercrops,-34.30917729,-55.98026668
594082.7471,6196411.882,Summercrops,-34.36938453,-55.97678281
595042.6184,6202381.367,Summercrops,-34.3154703,-55.96700531
595207.1612,6195583.367,Summercrops,-34.37675233,-55.96446381
598201.6891,6213949.578,Summercrops,-34.21086578,-55.93399226
598357.1211,6191829.902,Summercrops,-34.41030176,-55.9297772
598820.3282,6214327.899,Summercrops,-34.2073959,-55.92732101
599088.7827,6213707.098,Summercrops,-34.21296816,-55.9243363
599402.0318,6193902.708,Summercrops,-34.39151186,-55.9186498
600201.4538,6210504.588,Summercrops,-34.24173854,-55.9118882
601251.9232,6193368.991,Summercrops,-34.39614472,-55.89846585
603690.9564,6210511.381,Summercrops,-34.24133516,-55.87400199
605141.5034,6211557.893,Summercrops,-34.23175333,-55.85838037
605588.4223,6211396.63,Summercrops,-34.23316213,-55.8535089
606148.6913,6211456.717,Summercrops,-34.23256332,-55.8474339
606205.0413,6193270.974,Summercrops,-34.39653153,-55.84457746
607293.8594,6193443.412,Summercrops,-34.39486432,-55.83275577
608980.4124,6211773.487,Summercrops,-34.22941428,-55.81673262
609188.7783,6193580.346,Summercrops,-34.39343128,-55.81216236
610906.1232,6212548.233,Summercrops,-34.22222519,-55.79592745
611307.1183,6195715.164,Summercrops,-34.37395717,-55.78939906
611950.6937,6213619.154,Summercrops,-34.21245731,-55.78472778
612374.9651,6213583.901,Summercrops,-34.21272946,-55.78011847
612771.7214,6213753.168,Summercrops,-34.21116034,-55.77583443
612593.0284,6196752.589,Summercrops,-34.3644643,-55.77555213
613812.6738,6214195.363,Summercrops,-34.20706,-55.76459512
615069.8045,6195293.816,Summercrops,-34.37734453,-55.74842719
615338.8446,6202343.591,Summercrops,-34.31375208,-55.74644799
615721.9322,6204101.765,Summercrops,-34.29785718,-55.74252166
617865.0676,6197988.958,Summercrops,-34.35273013,-55.71840085
618474.7049,6192967.257,Summercrops,-34.39793663,-55.71107996
619353.9612,6219449.655,Summercrops,-34.15906504,-55.7051833
619260.4447,6201886,Summercrops,-34.31743421,-55.70377238
619358.7449,6202757.794,Summercrops,-34.30956268,-55.70282513
619572.0285,6203610.315,Summercrops,-34.30185166,-55.70062613
619793.3561,6219814.844,Summercrops,-34.15572199,-55.70046803
619786.5413,6198069.146,Summercrops,-34.35178666,-55.69752372
620228.0934,6219944.583,Summercrops,-34.15450221,-55.695771
620062.2595,6205015.129,Summercrops,-34.28912905,-55.6954959
620124.5269,6205488.688,Summercrops,-34.28485216,-55.69488553
620188.8404,6204304.327,Summercrops,-34.29552309,-55.69402171
620080.6141,6194639.274,Summercrops,-34.38267644,-55.693847
620506.0106,6194831.715,Summercrops,-34.38089192,-55.68924795
621259.1029,6195641.689,Summercrops,-34.37350121,-55.68117291
621340.1308,6195337.835,Summercrops,-34.37623126,-55.68024887
621877.8008,6221876.995,Summercrops,-34.13688758,-55.67815065
622027.3038,6222417.262,Summercrops,-34.13199891,-55.67660551
622029.5495,6221326.71,Summercrops,-34.14183139,-55.67642785
622236.4175,6221986.572,Summercrops,-34.13585767,-55.67427755
622310.7635,6223116.779,Summercrops,-34.12565868,-55.67363062
621980.6857,6196007.668,Summercrops,-34.37011676,-55.67337878
622534.2837,6223009.464,Summercrops,-34.12660006,-55.67119214
622813.1755,6196943.317,Summercrops,-34.36158256,-55.66446094
623582.9405,6197540.897,Summercrops,-34.35610322,-55.65617812
626406.1795,6204533.233,Summercrops,-34.29272061,-55.62651404
628771.811,6224696.11,Summercrops,-34.11064266,-55.60381725
629181.0804,6224142.707,Summercrops,-34.11558165,-55.59929873
630229.4002,6222586.36,Summercrops,-34.12948352,-55.58770157
630607.94,6222755.707,Summercrops,-34.12790942,-55.58362299
632099.005,6220558.599,Summercrops,-34.14753075,-55.56712319
632724.745,6209852.18,Summercrops,-34.243978,-55.55869591
632963.7538,6219610.638,Summercrops,-34.15596758,-55.55760056
633169.542,6209730.596,Summercrops,-34.24501728,-55.55384831
633379.0981,6209353.788,Summercrops,-34.2483876,-55.55151507
633657.6377,6218933.409,Summercrops,-34.16198466,-55.54997099
634496.3215,6218523.55,Summercrops,-34.16557203,-55.54081125
635215.2965,6208493.542,Summercrops,-34.25590601,-55.53144508
635617.9579,6207683.806,Summercrops,-34.26315377,-55.52694582
636395.6524,6219035.332,Summercrops,-34.16071128,-55.52029139
637317.3409,6206966.21,Summercrops,-34.26940003,-55.50837871
638708.9346,6204427.839,Summercrops,-34.29209952,-55.49285848
639230.5622,6220535.365,Summercrops,-34.14681308,-55.48978653
639355.7534,6220899.169,Summercrops,-34.14351648,-55.48848745
641215.9477,6217890.943,Summercrops,-34.17038697,-55.46782742
642366.3266,6206075.041,Summercrops,-34.27675444,-55.4534038
643567.6755,6213024.345,Summercrops,-34.21393961,-55.44151267
643835.6645,6212742.251,Summercrops,-34.21644576,-55.43855757
644459.1885,6211880.504,Summercrops,-34.22412824,-55.43164698
644550.1478,6206468.216,Summercrops,-34.27290825,-55.42975357
645394.4338,6209982.898,Summercrops,-34.24110517,-55.42117733
645572.7302,6205807.565,Summercrops,-34.27872125,-55.41853743
646036.9262,6208619.122,Summercrops,-34.25330972,-55.41397224
646203.9297,6204020.491,Summercrops,-34.29474309,-55.41137935
646412.889,6208251.135,Summercrops,-34.25657425,-55.40982807
649180.6118,6198088.998,Summercrops,-34.34779086,-55.37801802
652473.5344,6203139.899,Summercrops,-34.30177922,-55.34312382
652547.7544,6203321.412,Summercrops,-34.30013202,-55.34234975
